name,latitude,longitude,available_bikes,empty_slots
Grimaldi Forum,43.743545,7.4310860000000005,3,13
ÉGLISE,43.74495342677297,7.427207000000001,5,7
Hector Otto,43.73510269829366,7.415151258930197,6,6
Stade Louis II (P),43.72763,7.414385,2,18
Monaco Ville,43.731736,7.425989,0,12
Casino (P),43.739794,7.427210999999999,1,11
Crovetto,43.7323836,7.415434500000002,8,2
Gare (P),43.738789,7.419352999999999,16,4
Parking des Salines bas,43.730999694368094,7.413016124237069,14,8
Pêcheurs (P),43.731423,7.427161999999999,10,10
Révoires,43.7343765,7.414850000000001,12,0
Citronniers,43.741768,7.428866000000001,0,11
Bellevue,43.739975,7.422011,13,7
Fontvieille,43.730026,7.416254,1,23
Carmes,43.74817,7.434579,10,2
Musée Océanographique,43.731047,7.425461,4,6
Héliport,43.725515,7.41877,17,11
Darse Nord,43.735039,7.422038,9,1
ROSE DES VENTS,43.74518540305469,7.432057247850427,0,20
Saint-Roman,43.7513701,7.437508800000002,17,0
Collège Charles III,43.73147260015036,7.41695360707093,3,17
Monte Carlo,43.73905,7.42568,9,3
Boulevard d'Italie,43.7491597,7.435647899999998,8,8
Lauriers,43.7409277,7.422756900000001,10,6
Gabian,43.729167,7.4145,0,10
Apollinaire,43.7351789,7.4192052,10,1
Princesse Grace,43.74947512875573,7.438389821517952,12,0
Parc Princesse Antoinette,43.7345291,7.4160780000000015,12,0
MARETERRA,43.7414589554419,7.43058727549363,3,17
Parking des Salines haut,43.73155012533212,7.413498921859748,25,15
PLACE DES MONEGHETTI,43.73800671622904,7.417328795453653,9,4
Place d'Armes,43.732431,7.419778000000001,0,10
Honoré II,43.732569572136704,7.4178092317466815,9,11
MARCHÉ,43.7423226,7.4260399999999995,11,1
La Rousse,43.74777710640471,7.431778715274824,11,3
Grande Bretagne,43.74370589999999,7.429222800000002,6,6
Port de Fontvieille,43.72854,7.41926,9,3
Carmelha,43.75046327014105,7.437467141616828,5,7
Place des Moulins,43.745656,7.429119000000001,17,3
Testimonio (P),43.748673,7.435985,0,14
Yacht Club,43.737241,7.426764,1,9
Thermes Marins,43.737586,7.426373,0,8
Roseraie,43.727572,7.418872000000001,3,4
Florestine,43.73344,7.419860000000001,4,7
LARVOTTO,43.74727,7.434742999999999,9,6
Notari,43.733579,7.420869,1,11
Tour Odéon,43.747573,7.430767,18,0
Place Sainte Dévote,43.73711971933853,7.421668825808153,14,1
Sauvaigo,43.732947,7.417868,9,9
Palais Princier,43.73131,7.421025,2,10
Boulevard de Belgique,43.736709558788206,7.418522044180279,14,5
Pont Sainte Dévote,43.738506,7.420042,11,1
Boulevard des Moulins,43.741730129682885,7.427125656414048,7,13
